GlobalLeftX,GlobalLeftY,GlobalRightX,GlobalRightY
1133,74,1159,73
1141,69,1165,67
1153,66,1174,63
1165,67,1185,64
1179,72,1196,66
1189,77,1205,70
1184,79,1201,71
1166,74,1188,71
1153,74,1178,72
1146,80,1172,76
1143,86,1169,82
1190,73,1208,67
1183,65,1202,58
1168,56,1191,52
1172,44,1195,35
1158,41,1176,30
1165,44,1186,33
1162,37,1182,26
1167,50,1189,40
1181,53,1203,45
1179,58,1201,50
1185,84,1204,76
1352,17,1372,8
1354,24,1372,14
1366,21,1382,10
1363,15,1380,6
1348,34,1370,22
1342,36,1361,24
1327,41,1347,33
1324,60,1343,51
1315,61,1334,50
1317,40,1336,31
1302,61,1322,48
1301,74,1318,62
1329,74,1347,63
1318,73,1336,63
1317,36,1338,25
1315,50,1336,40
1301,67,1321,56
1346,11,1368,3
1395,20,1416,7
1435,65,1449,47
1420,45,1437,29
1406,30,1429,19
1389,19,1404,7
782,50,781,42
780,64,781,55
794,52,800,42
791,67,798,58
818,85,829,74
832,83,846,73
838,75,854,61
814,65,825,54
818,74,828,63
830,73,840,61
803,73,812,65
805,59,813,49
63,904,47,888
68,892,54,876
70,887,56,872
78,908,66,891
50,895,34,878
79,895,69,881
80,890,70,877
57,900,41,883
74,894,62,878
75,889,63,874
73,904,59,888
57,887,44,872
59,883,48,869
44,894,29,877
40,891,25,875
69,904,55,888
82,905,71,888
86,906,79,889
878,941,885,942
903,954,903,954
906,952,908,951
912,954,913,954
922,954,924,954
919,951,921,950
927,944,928,945
935,933,937,934
941,926,944,925
930,883,927,882
921,884,915,876
949,912,951,913
874,935,877,937
114,895,99,880
116,895,102,881
147,909,133,894
153,911,139,896
148,903,134,888
154,905,140,891
152,882,138,870
156,883,142,871
150,893,136,880
155,894,141,881
132,899,119,885
146,913,132,898
153,915,138,900
118,899,106,884
124,901,113,886
112,904,98,888
116,905,103,889
954,903,956,904
957,910,959,908
966,903,969,902
981,899,982,898
988,891,992,890
998,893,1000,891
1003,884,1007,883
998,884,1003,883
1014,884,1017,883
1017,888,1021,888
1031,883,1034,883
1028,875,1033,875
1010,873,1012,874
990,877,990,877
1000,870,1002,873
1003,881,1006,881
1025,887,1029,886
1009,883,1012,883
993,890,997,889
962,907,964,906
973,901,975,900
1001,890,1003,888
1031,903,1033,904
1023,892,1027,890
1036,885,1038,886
1035,873,1039,873
983,895,987,894
1042,900,1042,899
1048,911,1050,915
1055,909,1059,912
1057,916,1059,918
1051,919,1054,921
1056,931,1060,932
1056,936,1058,937
1069,944,1073,944
1070,954,1074,954
1042,885,1042,885
1050,886,1051,886
1057,888,1060,888
1060,880,1064,879
1051,872,1056,871
1047,870,1051,870
1042,872,1044,873
1064,875,1071,876
1087,879,1092,887
1118,878,1124,887
1114,880,1118,890
1117,881,1124,891
1112,887,1117,896
