GlobalLeftX,GlobalLeftY,GlobalRightX,GlobalRightY
13381,873,13698,857
13486,817,13766,788
13619,784,13869,739
13761,791,14005,749
13932,849,14131,782
14047,912,14239,821
13995,931,14190,835
13773,870,14031,835
13624,871,13913,847
13546,943,13844,894
13502,1010,13811,964
14059,859,14276,789
13979,768,14203,688
13797,665,14077,611
13850,524,14122,414
13677,484,13893,356
13762,517,14009,386
13729,435,13967,309
13790,594,14052,468
13955,620,14213,536
13925,686,14185,594
13996,987,14227,892
15973,206,16211,94
16003,283,16216,167
16134,248,16326,120
16099,174,16308,69
15933,396,16183,263
15859,426,16086,286
15674,489,15917,386
15643,709,15866,604
15534,716,15761,590
15562,473,15791,363
15382,714,15623,567
15375,877,15567,726
15707,871,15910,747
15576,857,15791,739
15564,421,15809,297
15539,590,15781,477
15373,795,15604,655
15906,132,16163,36
16488,241,16733,83
16958,763,17117,550
16777,527,16978,340
16607,354,16880,225
16413,227,16591,80
19207,422,19443,300
19010,361,19218,213
19024,333,19234,179
18767,270,18980,122
18783,232,19006,76
18891,316,19089,164
18903,276,19104,129
19110,398,19333,255
19123,370,19345,225
19721,609,20067,541
19971,712,20312,648
19847,898,20195,807
19915,894,20279,795
19735,810,20113,725
19637,739,20004,650
20011,964,20389,847
19503,494,19849,461
19753,295,20069,227
19740,235,20046,159
19906,199,20235,115
19926,251,20256,174
19822,216,20134,136
19833,283,20163,197
19845,662,20191,594
19581,707,19934,608
20118,770,20446,705
21565,899,21884,861
21624,880,21986,838
21818,398,22169,323
21626,407,22000,318
21829,574,22188,492
21626,571,22000,496
21771,207,22133,131
21603,235,21953,150
21748,131,22117,82
21614,132,21954,78
21519,571,21897,496
21568,740,21933,674
21795,309,22150,228
21788,861,22084,859
21734,903,21909,587
22641,657,23008,594
22631,728,22996,662
22575,735,22936,678
22541,760,22896,707
22571,664,22940,590
22931,943,23295,908
22998,859,23361,816
22950,800,23316,746
23073,681,23452,637
22973,732,23349,688
22594,966,22966,913
22547,940,22924,885
22534,864,22905,807
23123,347,23494,297
23127,442,23506,384
23092,480,23475,422
23148,543,23534,489
23150,650,23522,592
22959,903,23331,863
22938,1001,23286,976
9235,587,9226,492
9221,751,9224,646
